timestamp,page,status
1,23,MISS
2,44,MISS
3,20,MISS
4,33,MISS
5,4,MISS
6,44,HIT
7,27,MISS
8,27,HIT
9,47,MISS
10,33,HIT
11,31,MISS
12,46,MISS
13,22,MISS
14,23,HIT
15,15,MISS
16,24,MISS
17,14,MISS
18,13,MISS
19,23,HIT
20,15,HIT
21,1,MISS
22,42,MISS
23,9,MISS
24,21,MISS
25,13,HIT
26,31,HIT
27,33,HIT
28,4,HIT
29,21,HIT
30,34,MISS
31,25,MISS
32,41,MISS
33,35,MISS
34,32,MISS
35,2,MISS
36,25,HIT
37,15,HIT
38,36,MISS
39,45,MISS
40,5,MISS
41,38,MISS
42,47,HIT
43,37,MISS
44,32,HIT
45,14,HIT
46,38,HIT
47,18,MISS
48,38,HIT
49,3,MISS
50,23,HIT
51,16,MISS
52,3,HIT
53,11,MISS
54,33,HIT
55,33,HIT
56,20,HIT
57,15,HIT
58,19,MISS
59,47,HIT
60,14,HIT
61,29,MISS
62,35,HIT
63,22,HIT
64,7,MISS
65,19,HIT
66,33,HIT
67,15,HIT
68,20,HIT
69,8,MISS
70,9,HIT
71,16,HIT
72,34,HIT
73,41,HIT
74,15,HIT
75,27,HIT
76,14,HIT
77,34,HIT
78,37,HIT
79,26,MISS
80,21,HIT
81,13,HIT
82,50,MISS
83,50,HIT
84,5,HIT
85,28,MISS
86,7,HIT
87,1,HIT
88,15,HIT
89,23,HIT
90,18,HIT
91,27,HIT
92,37,HIT
93,2,HIT
94,15,HIT
95,48,MISS
96,46,MISS
97,21,HIT
98,7,HIT
99,18,HIT
100,31,HIT
101,46,HIT
102,18,HIT
103,2,HIT
104,28,HIT
105,47,HIT
106,33,HIT
107,27,HIT
108,9,HIT
109,3,HIT
110,24,HIT
111,36,HIT
112,27,HIT
113,16,HIT
114,39,MISS
115,48,HIT
116,15,HIT
117,3,HIT
118,33,HIT
119,39,HIT
120,5,HIT
121,49,MISS
122,5,HIT
123,43,MISS
124,11,MISS
125,13,HIT
126,47,HIT
127,14,HIT
128,26,MISS
129,8,MISS
130,46,HIT
131,44,HIT
132,18,HIT
133,29,MISS
134,12,MISS
135,5,HIT
136,37,HIT
137,6,MISS
138,45,HIT
139,2,HIT
140,33,HIT
141,35,HIT
142,17,MISS
143,25,HIT
144,36,HIT
145,50,HIT
146,2,HIT
147,33,HIT
148,13,HIT
149,1,HIT
150,38,HIT
151,4,HIT
152,42,MISS
153,33,HIT
154,25,HIT
155,6,HIT
156,26,MISS
157,43,MISS
158,7,HIT
159,19,HIT
160,20,HIT
161,21,HIT
162,36,HIT
163,33,HIT
164,38,HIT
165,27,HIT
166,43,HIT
167,44,HIT
